"統計期","業者名稱","行動寬頻總用戶數","4G用戶數小計","4G月租型","4G預付卡型","5G用戶數小計","5G月租型","5G預付卡型"
"10401","中華電信股份有限公司                                                            ","1546502","1546502","0","0","0","0","0"
"10402","中華電信股份有限公司                                                            ","1752685","1752685","0","0","0","0","0"
"10403","中華電信股份有限公司                                                            ","1947997","1947997","0","0","0","0","0"
"10404","中華電信股份有限公司                                                            ","2144037","2144037","0","0","0","0","0"
"10405","中華電信股份有限公司                                                            ","2366760","2366760","0","0","0","0","0"
"10406","中華電信股份有限公司                                                            ","2676887","2676887","0","0","0","0","0"
"10407","中華電信股份有限公司                                                            ","2979626","2979626","0","0","0","0","0"
"10408","中華電信股份有限公司                                                            ","3280527","3280527","0","0","0","0","0"
"10409","中華電信股份有限公司                                                            ","3556464","3556464","0","0","0","0","0"
"10410","中華電信股份有限公司                                                            ","3837991","3837991","0","0","0","0","0"
"10411","中華電信股份有限公司                                                            ","4113526","4113526","0","0","0","0","0"
"10412","中華電信股份有限公司                                                            ","4426929","4426929","0","0","0","0","0"
"10501","中華電信股份有限公司                                                            ","4685095","4685095","0","0","0","0","0"
"10502","中華電信股份有限公司                                                            ","4967227","4967227","0","0","0","0","0"
"10503","中華電信股份有限公司                                                            ","5207287","5207287","0","0","0","0","0"
"10504","中華電信股份有限公司                                                            ","5366509","5366509","0","0","0","0","0"
"10505","中華電信股份有限公司                                                            ","5519739","5519739","0","0","0","0","0"
"10506","中華電信股份有限公司                                                            ","5687372","5687372","0","0","0","0","0"
"10507","中華電信股份有限公司                                                            ","5837850","5837850","0","0","0","0","0"
"10508","中華電信股份有限公司                                                            ","6049348","6049348","0","0","0","0","0"
"10509","中華電信股份有限公司                                                            ","6230913","6230913","0","0","0","0","0"
"10510","中華電信股份有限公司                                                            ","6414981","6414981","0","0","0","0","0"
"10511","中華電信股份有限公司                                                            ","6562359","6562359","0","0","0","0","0"
"10512","中華電信股份有限公司                                                            ","6709667","6709667","0","0","0","0","0"
"10601","中華電信股份有限公司                                                            ","6849322","6849322","0","0","0","0","0"
"10602","中華電信股份有限公司                                                            ","6979084","6979084","0","0","0","0","0"
"10603","中華電信股份有限公司                                                            ","7121306","7121306","0","0","0","0","0"
"10604","中華電信股份有限公司                                                            ","7232913","7232913","0","0","0","0","0"
"10605","中華電信股份有限公司                                                            ","7394136","7394136","0","0","0","0","0"
"10606","中華電信股份有限公司                                                            ","7559684","7559684","0","0","0","0","0"
