"縣市","統計期","業者名稱","類別","基地臺"
"宜蘭縣","1130430","中華電信股份有限公司                                                            ","4G","1021"
"宜蘭縣","1130430","台灣大哥大股份有限公司                                                          ","4G","893"
"宜蘭縣","1130430","遠傳電信股份有限公司                                                            ","4G","727"
"花蓮縣","1130430","中華電信股份有限公司                                                            ","4G","989"
"花蓮縣","1130430","台灣大哥大股份有限公司                                                          ","4G","962"
"花蓮縣","1130430","遠傳電信股份有限公司                                                            ","4G","793"
"金門縣","1130430","中華電信股份有限公司                                                            ","4G","385"
"金門縣","1130430","台灣大哥大股份有限公司                                                          ","4G","157"
"金門縣","1130430","遠傳電信股份有限公司                                                            ","4G","149"
"南投縣","1130430","中華電信股份有限公司                                                            ","4G","1301"
"南投縣","1130430","台灣大哥大股份有限公司                                                          ","4G","1150"
"南投縣","1130430","遠傳電信股份有限公司                                                            ","4G","1140"
"屏東縣","1130430","中華電信股份有限公司                                                            ","4G","1272"
"屏東縣","1130430","台灣大哥大股份有限公司                                                          ","4G","1363"
"屏東縣","1130430","遠傳電信股份有限公司                                                            ","4G","1561"
"苗栗縣","1130430","中華電信股份有限公司                                                            ","4G","1429"
"苗栗縣","1130430","台灣大哥大股份有限公司                                                          ","4G","1139"
"苗栗縣","1130430","遠傳電信股份有限公司                                                            ","4G","1240"
"桃園市","1130430","中華電信股份有限公司                                                            ","4G","2208"
"桃園市","1130430","台灣大哥大股份有限公司                                                          ","4G","2803"
"桃園市","1130430","遠傳電信股份有限公司                                                            ","4G","2227"
"高雄市","1130430","中華電信股份有限公司                                                            ","4G","3688"
"高雄市","1130430","台灣大哥大股份有限公司                                                          ","4G","3516"
"高雄市","1130430","遠傳電信股份有限公司                                                            ","4G","3486"
"基隆市","1130430","中華電信股份有限公司                                                            ","4G","413"
"基隆市","1130430","台灣大哥大股份有限公司                                                          ","4G","411"
"基隆市","1130430","遠傳電信股份有限公司                                                            ","4G","450"
"連江縣","1130430","中華電信股份有限公司                                                            ","4G","123"
"連江縣","1130430","台灣大哥大股份有限公司                                                          ","4G","48"
"連江縣","1130430","遠傳電信股份有限公司                                                            ","4G","52"
"雲林縣","1130430","中華電信股份有限公司                                                            ","4G","1373"
"雲林縣","1130430","台灣大哥大股份有限公司                                                          ","4G","996"
"雲林縣","1130430","遠傳電信股份有限公司                                                            ","4G","911"
"新北市","1130430","中華電信股份有限公司                                                            ","4G","3285"
"新北市","1130430","台灣大哥大股份有限公司                                                          ","4G","4028"
"新北市","1130430","遠傳電信股份有限公司                                                            ","4G","2885"
"新竹市","1130430","中華電信股份有限公司                                                            ","4G","649"
"新竹市","1130430","台灣大哥大股份有限公司                                                          ","4G","587"
"新竹市","1130430","遠傳電信股份有限公司                                                            ","4G","691"
"新竹縣","1130430","中華電信股份有限公司                                                            ","4G","1147"
"新竹縣","1130430","台灣大哥大股份有限公司                                                          ","4G","994"
"新竹縣","1130430","遠傳電信股份有限公司                                                            ","4G","953"
"嘉義市","1130430","中華電信股份有限公司                                                            ","4G","356"
"嘉義市","1130430","台灣大哥大股份有限公司                                                          ","4G","347"
"嘉義市","1130430","遠傳電信股份有限公司                                                            ","4G","323"
"嘉義縣","1130430","中華電信股份有限公司                                                            ","4G","1089"
"嘉義縣","1130430","台灣大哥大股份有限公司                                                          ","4G","863"
"嘉義縣","1130430","遠傳電信股份有限公司                                                            ","4G","812"
"彰化縣","1130430","中華電信股份有限公司                                                            ","4G","1891"
"彰化縣","1130430","台灣大哥大股份有限公司                                                          ","4G","1592"
